Results
"accuracy: 72.752976 (39112 / 53760), f1: 72.753436, loss: 0.705530"
72.75297619047619
72.75343573577456
0.7055303494135539
[0. 1. 1. ... 0. 0. 0.]
[2 1 1 ... 1 3 2]
0.71340114
0.7274704
0.7020739
0.76744014
0.71340114
0.119637325
0.07010172
0.0968598
0.10871195
0.7274704
0.064327486
0.09949018
0.07886717
0.07767784
0.7020739
0.1413811
0.066029996
0.07945982
0.087070055
0.76744014
0.72752976
0.6367249
0.72911465
0.72759634
0.7275344
